+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;;+;+;+;;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;;+;+;+;+;+;;+;+;+;+;+;;+;+;+;;;;+;+;+;+;+;+;;+;+
+;+;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;;+
+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+
;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;;+;+
+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;+;;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;+;+;+
+;;+;+;+;;;+;+;+;;;;;+;;+;;+;+;;+;;+;;;+;;+;;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+
+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;;+;+;+;+;+;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;;+;;+;+;;+;+;+;+;+;+;;+;;+;+;+;+;+;;+;+;;+;+
;;+;;+;+;+;;+;;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+
+;;;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+
+;;;;+;+;;+;+;+;+;+;+;+;+;;+;+;+;;;+;+;+;;+;+;+;+;+;+;+
+;;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;;+;+;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+
;;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;+;;;+;+;+;+;;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;;;+;+;+;+;+;;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+
;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;+;+;;+;;+;;;;;;;+;;+;+;+;+;+;;;;;;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;;+;+;;+;;+;+;+;;+;+;+;+;+;;;+;;+;+;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;;
;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;+;+;+;+;+;;+;;+;+;+;;+;;+;;+;+;;+;+;+;+;+;+;;+;+
;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+
+;+;+;+;;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+
;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;;+;;+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;;;+;;;;+;;+;+;+;;+;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;;;+;+;+;;;+;;;+;+;+;;+;;+;+;+;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;;+;+;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;+;;;;+;+;+;+;+;;+;+;;+;;+
+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;;+;+;;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;+;+;+;;;;+;+;+;+;+;+;;;+;+;+;+;+;;+;+;+;;;+;+;;+;+
;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;;+;+;+;+;+;;+
;+;+;+;+;+;;+;;;+;+;;;+;+;;+;+;+;+;;;;+;+;+;+;+;;+;
+;+;+;+;;;+;+;+;;+;+;+;;;;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;
;+;+;+;+;;+;;+;+;+;+;;;+;+;+;+;+;+;;;+;+;;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+
+;+;;+;+;+;;+;+;;+;+;+;;+;;+;+;;+;+;+;+;;+;+;+;+;+;+;;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;;;+;;+;+;;+;;+;+;+;+;+;+;+;;+;+;;+;+;;+;+;;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;+;+;+;;+;+;;+;+;+;+;+;+;+;+;;+;+;+;;+;+;;;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;;+
+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;+;+;;;+;+;+;+;+;;+;+;;+;+;+;;+;;+;+;+;+;;;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;;;+;;+;+;+;+;+;+;;;+;+;+;+;+;+;;+;+;+;+;+;;;+;+
;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;;+;+;+;;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;
+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+
+;;;+;+;+;;+;;;;+;;+;;;;;;+;;+;;;;;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;+;+;;+;+;;+;+;+;+;+;+;+;+;+;;+;+;+;;;+;+;+;;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;;+;+;+;;+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+
+;+;+;;+;+;+;;+;+;+;+;+;+;;+;+;+;;;+;+;;+;+;+;;;+;;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+
+;+;+;;+;;;+;;+;+;;+;;+;+;+;;+;+;+;+;;+;+;+;;+;;;;+
+;+;+;+;+;+;+;;;+;+;+;;;+;+;+;+;;;+;+;+;+;+;+;;;+;;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;+;;+;+;+;+;;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;;+;;;+;;+;+;+;+;+;;+;+;+;;+;+;+;;+;+;+;+;;+;+;+;+
+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;;+;+;;;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;;+;+;+;+;
+;+;+;+;+;;+;+;+;;+;;+;+;+;;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;;+;;;+;+;;+;+;+;+;+;;;+;+;;+;+;+;+;+;;+;+;;+;+;+;+
+;+;+;+;;+;+;;+;;;+;+;+;;+;;+;;;+;+;;+;;;;;;;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;
+;+;+;+;;+;+;;;;+;+;+;+;+;+;+;+;+;+;;+;+;;+;+;+;+;+;+;;+
;+;+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;;+;;+;;+;;+;;;+;+;+;;+
;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;;+;+;+;+;+;+;+;+;+;+;+;+;+
;+;+;+;+;;+;+;+;+;+;;+;;+;+;;+;+;+;+;+;+;+;+;+;+;+;+;;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;+;+;+;+;+;;;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
+;+;;+;+;+;;;+;+;+;+;;+;;;+;+;;;+;+;;+;;;+;+;+;+;+;+
+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;;+;+;+;+;+;+;+;+;+;+;;+;+;+;+
